,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,61526.19,18786.07,-41663.74,-54867.05,61526.19,61526.19,-24925.41,31063.0,0.0
1,243709.2,63427.64,-150383.9,-215124.0,244614.7,244614.7,-120702.8,114159.4,0.013039
2,463370.7,91231.79,-223219.5,-375424.6,471058.2,471058.2,-287388.5,205495.1,0.015445
3,618309.8,70815.92,-148940.2,-394126.8,643291.6,634989.9,-472732.8,279558.4,0.019044000000000002
4,682903.3,22544.38,62276.82,-256614.7,729156.8,694969.6,-620133.1,349982.8,0.023024999999999997
5,666400.0,-5146.338,316816.2,-48108.64,726762.7,667988.6,-667807.7,431413.4,0.032024000000000004
6,618551.6,25535.03,516023.6,126266.4,678132.2,619989.9,-505935.2,526784.7,0.036067
7,593998.9,145537.0,618011.7,224459.4,635703.4,597570.4,-108997.1,612481.1,0.036072
8,591919.3,345671.2,648397.9,292268.8,608955.2,596043.3,348055.6,659330.4,0.04201900000000001
9,578242.4,537790.2,660293.8,396489.4,576464.9,583395.5,695151.2,656506.6,0.04544000000000001
10,548552.0,657669.0,672338.6,538263.4,537400.3,550620.8,874722.9,622953.3,0.049044000000000004
11,525925.8,706228.6,661390.7,654068.2,512374.9,522523.8,893204.0,590030.8,0.063486
12,514938.9,698285.7,622629.8,700716.9,501995.0,510300.0,827253.1,566171.4,0.063492
13,496014.9,656788.3,587999.4,702705.9,484488.6,484741.8,766308.9,538979.4,0.065447
14,456996.1,611926.5,573159.6,695649.3,454424.3,418338.2,727280.1,503328.1,0.068018
15,402061.3,571853.6,556247.2,675074.1,429668.7,327358.4,668225.6,460683.6,0.07043600000000001
16,334887.0,514937.8,522870.7,632102.0,416997.8,237850.8,575836.7,402790.4,0.08006100000000001
17,249766.5,429659.7,491523.8,588914.3,401355.0,150756.7,482720.3,320024.4,0.080066
18,152102.7,332328.4,477140.6,567044.4,375077.7,65176.4,402440.9,220797.5,0.08201800000000001
19,69101.07,245507.3,464540.8,553234.0,350800.2,-2444.717,318439.1,131692.0,0.08555
20,18843.12,179022.6,438101.0,526547.2,336949.5,-40237.3,236349.2,71518.57,0.10554999999999999
21,-10321.03,130915.6,409099.5,494552.8,323435.1,-59867.57,185557.0,33966.28,0.105556
22,-34633.5,98936.05,392674.8,475172.1,301616.9,-76798.9,168744.9,5909.417,0.105559
23,-51948.93,80901.85,380792.3,463052.5,279253.8,-89815.82,155280.1,-13604.42,0.108474
24,-57445.64,68916.59,359196.1,441401.6,264796.8,-93698.47,129577.9,-22873.43,0.108478
25,-60686.24,54817.95,333135.8,412667.3,252534.5,-95316.98,108185.0,-29735.21,0.11303900000000001
26,-71885.83,38744.8,315677.8,391802.7,234475.0,-103420.2,101325.8,-42213.04,0.11801900000000001
27,-85953.83,25128.5,303941.1,378723.5,214533.2,-114321.0,93230.96,-56917.18,0.12043300000000003
28,-93718.31,13691.08,286321.6,360672.7,199989.6,-120134.7,72620.64,-66907.46,0.12301100000000002
29,-97960.48,938.754,263795.7,336105.4,188415.5,-122642.4,52287.1,-73823.97,0.12543100000000001
30,-106271.5,-12689.57,246335.6,315631.1,173392.8,-128231.3,43994.52,-83328.3,0.129444
31,-116902.3,-23833.51,234395.7,301937.6,156150.0,-135911.0,38364.8,-94456.1,0.14347900000000002
32,-123204.2,-32454.42,219682.4,286521.8,142127.6,-140280.2,24300.26,-102192.3,0.143485
33,-125864.1,-41407.28,200725.5,266006.0,130988.1,-141610.5,8476.771,-106715.3,0.145438
34,-130511.8,-51065.95,184138.7,246877.4,118291.3,-144358.6,948.998,-112341.9,0.14801100000000003
35,-137378.5,-59238.44,171999.4,232764.3,103741.1,-148874.8,-2893.14,-119656.0,0.15301
36,-142089.2,-65595.75,158873.7,218546.8,90332.79,-151811.6,-12089.42,-125327.1,0.155525
37,-144005.8,-71990.46,141233.3,199460.0,77520.02,-152622.0,-23934.18,-128487.8,0.16005100000000003
38,-146483.8,-78853.65,121657.5,177641.3,61857.91,-153776.1,-30783.92,-131728.8,0.160056
39,-150462.9,-84797.24,102677.7,156543.7,42782.37,-155934.0,-34040.07,-136188.7,0.18403400000000003
40,-153633.9,-89502.27,83028.66,135494.3,22988.18,-157489.1,-40024.25,-140104.2,0.187011
41,-155070.1,-94084.03,61840.17,113098.5,4476.664,-157918.0,-48369.18,-142354.4,0.18942900000000004
42,-156246.5,-98816.41,41220.21,90868.59,-12801.73,-158171.7,-54188.03,-144072.2,0.19201100000000001
43,-157990.5,-102898.6,23018.97,70856.77,-29297.44,-158586.1,-57283.76,-146330.6,0.19402500000000003
44,-159601.3,-106235.5,6649.054,52969.59,-44932.48,-158794.0,-61274.76,-148623.3,0.19701300000000002
45,-160560.1,-109477.6,-9091.965,36017.22,-59456.41,-158799.5,-66698.83,-150120.4,0.19942900000000002
46,-161023.0,-112618.0,-24413.79,19394.4,-72649.3,-158594.3,-71175.47,-150898.7,0.20200700000000002
47,-161178.2,-115176.7,-38941.87,3274.642,-84621.99,-157840.9,-74172.77,-151549.6,0.20442800000000003
48,-161321.9,-117343.5,-52240.63,-11644.69,-96114.69,-156837.6,-77063.07,-152387.3,0.20747900000000002
49,-161709.9,-119556.4,-64214.72,-24926.36,-107571.0,-156325.1,-80228.73,-153175.5,0.207484
50,-161803.0,-121518.5,-75637.75,-37449.39,-118173.3,-155895.7,-83191.68,-153390.1,0.209431
51,-160939.8,-122847.6,-87282.3,-50415.07,-127141.4,-154459.7,-85941.93,-152954.1,0.21943400000000002
