,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
0,35212.67,19223.57,-44525.81,-56431.43,61526.19,49107.22,-23103.61,51743.48,0.0
1,125490.5,59470.65,-148366.9,-211208.7,244614.7,158743.7,-113433.2,191333.5,0.015456
2,204306.0,68484.79,-191386.7,-344279.5,471058.2,187287.3,-271335.5,335362.4,0.018028
3,232266.9,37621.52,-79788.02,-328721.6,643291.6,42051.6,-449379.9,417381.8,0.020439
4,253216.3,9931.939,144411.6,-180115.3,729156.8,-219446.9,-598254.6,449841.3,0.029444
5,316355.2,-1895.319,380337.3,13213.1,726762.7,-482631.8,-665107.8,469991.8,0.035067
6,429097.0,10699.59,546316.3,162775.8,678132.2,-533394.6,-541407.5,515080.0,0.035073
7,557601.4,69224.16,622908.9,241015.4,635703.4,-239918.9,-174151.7,581257.8,0.037024999999999995
8,648706.1,193476.7,645853.6,305855.5,608955.2,213970.4,284453.6,631046.1,0.043018
9,669418.3,372991.8,662305.4,422399.6,576464.9,580990.9,654003.2,633189.4,0.050069
10,641369.8,548687.6,675171.0,569266.7,537400.3,774483.6,860379.5,599385.9,0.050075
11,610038.8,670438.9,656009.2,672368.6,512374.9,815757.3,897925.5,568859.9,0.059438000000000005
12,588002.9,716081.3,610239.9,702290.7,501995.0,777393.4,837248.4,552131.8,0.07055
13,557876.4,691014.3,576621.4,694280.7,484488.6,723509.4,773923.9,528007.5,0.07055499999999999
14,519027.4,641509.9,564677.1,681745.3,454424.3,674690.8,736879.3,491653.6,0.070558
15,491953.8,608093.0,545760.2,657229.0,429668.7,620778.8,695336.3,462419.9,0.07301499999999998
16,473316.8,577956.6,509491.6,613566.7,416997.8,553452.1,634874.8,437636.4,0.07543399999999999
17,429937.7,516841.3,480225.6,573318.9,401355.0,477686.0,572270.8,386129.1,0.07801599999999997
18,351537.1,430375.9,469503.5,553991.1,375077.7,395866.5,511403.3,300213.2,0.08201999999999998
19,266818.6,351049.6,456217.4,539852.3,350800.2,309522.7,433504.7,211049.0,0.09606499999999998
20,201208.6,288498.9,426972.0,512475.7,336949.5,235118.0,343398.9,146372.0,0.09607099999999999
21,152981.9,233283.8,398637.0,481738.7,323435.1,189917.3,278883.1,103253.8,0.09801299999999998
22,114113.6,188857.5,385133.7,463762.7,301616.9,168131.2,253952.0,68895.71,0.11247999999999997
23,87082.1,165265.3,373374.1,451170.4,279253.8,149534.8,237692.5,43677.83,0.11248599999999997
24,72289.33,153433.6,349559.0,428638.5,264796.8,127292.0,206543.7,30542.46,0.11616499999999998
25,59417.08,135114.7,323434.3,400595.7,252534.5,110221.8,176690.0,20893.33,0.11616799999999998
26,40992.52,110318.2,308238.3,380982.6,234475.0,100264.8,164989.1,5288.727,0.11616999999999997
27,21897.29,92069.65,297201.8,367915.8,214533.2,87256.16,156140.6,-12939.64,0.11617199999999997
28,8084.256,80932.65,278071.8,349282.0,199989.6,67594.03,132518.0,-26094.5,0.11801599999999997
29,-3734.505,65787.65,255081.5,325101.3,188415.5,50373.31,105511.0,-35731.3,0.13444099999999998
30,-18492.02,45321.23,239176.8,305610.2,173392.8,40604.36,92280.91,-48007.84,0.139121
31,-33736.64,29269.65,228172.5,292167.7,156150.0,31121.41,85331.52,-62128.99,0.13912399999999997
32,-45023.61,19964.93,212609.5,276435.0,142127.6,16556.53,69061.35,-72825.55,0.13912599999999997
